ID;Species;Initial;Treatment;Deployment;Retrieval;Final;Dry
;;;;;;;
1791;Laminaria ochroleuca;6.500;;15.11.2024;;;
;;;;;;;
1792;Laminaria ochroleuca;6.306;;15.11.2024;;;
;;;;;;;
1793;Laminaria ochroleuca;6.456;;15.11.2024;22.11.2024;5.904;
;;;;;;;
1794;Laminaria ochroleuca;6.752;;15.11.2024;;;
;;;;;;;
1795;Laminaria ochroleuca;6.210;;15.11.2024;;;
;;;;;;;
1796;Laminaria ochroleuca;6.217;prekilled;15.11.2024;;;
;;;;;;;
1797;Laminaria ochroleuca;5.335;prekilled;15.11.2024;;;
;;;;;;;
1798;Laminaria ochroleuca;4.408;;15.11.2024;;;
;;;;;;;
1799;Laminaria ochroleuca;4.615;prekilled;15.11.2024;;;
